dataset,model,split,mae,rmse,mape,r2,bias_pred_minus_actual,params
appliances,LastValue_baseline,val,24.65675057208238,39.82269054097421,24.028590285841204,0.23985285731665662,0.15789473684210525,{}
appliances,LastValue_baseline,test,27.434782608695652,44.64671902223948,27.689668072375063,0.09201984343192127,0.17162471395881007,{}
appliances,MovingAverage_baseline,val,27.31884057971014,41.31277939287679,28.57054030693675,0.1819020632810363,0.1868802440884818,{}
appliances,MovingAverage_baseline,test,30.34324942791762,45.89994535370577,33.74583556189025,0.040330712967401317,0.10983981693363865,{}
appliances,LinearRegression,val,21.470326649674806,33.23533389552357,23.773564072364653,0.4705358468255084,1.2107360628507493,{}
appliances,LinearRegression,test,22.13273711110672,36.33809272504223,24.32937819452528,0.398519549141264,-0.4021450286721698,{}
appliances,Ridge_alpha_1,val,21.399681840594294,33.20573495395838,23.69789194574956,0.4714784941978103,1.208705944075891,{}
appliances,Ridge_alpha_1,test,22.007287358653198,36.230763657450616,24.16584587709866,0.4020673962380892,-0.46916946378394214,{}
appliances,RandomForest_default,val,22.054830079612604,35.222189700366094,23.610646287396996,0.40533938854748075,-0.2011950317208584,{}
appliances,RandomForest_default,test,23.290689329759164,37.14864641544404,26.022842893782023,0.3713871608805962,1.3233370666696753,{}
appliances,GradientBoosting_advanced,val,21.262032531679914,33.95481861356925,23.088754591781647,0.44736383879832164,0.3111104828675484,{}
appliances,GradientBoosting_advanced,test,23.46637319246207,37.71906739037009,26.284303375508856,0.3519341281683499,0.8337262316591707,{}
appliances,RandomForest_tuned,val,21.871288637230432,34.843647475832256,23.49348270118327,0.41805265399571767,0.4072127133132555,"{""n_estimators"": 80, ""max_depth"": null, ""min_samples_leaf"": 3}"
appliances,RandomForest_tuned,test,23.083319345366686,36.72206956064632,26.018011862295943,0.38574095970797484,1.7579106253999017,"{""n_estimators"": 80, ""max_depth"": null, ""min_samples_leaf"": 3}"
co2,LastValue_baseline,val,28.93633072407045,35.29226330763916,5.5951276637199765,0.3074007286243814,3.6835479452054796,{}
co2,LastValue_baseline,test,36.12990802348337,43.959964942207996,5.760122495678047,0.907306264480058,-4.32474168297456,{}
co2,MovingAverage_baseline,val,30.66177025440313,37.184115229003844,5.942159178181642,0.23115655988481199,4.152848923679059,{}
co2,MovingAverage_baseline,test,40.62908180039139,48.47129588449589,6.455595196733569,0.8873049161175164,-5.286127592954993,{}
co2,LinearRegression,val,27.544603385416103,35.21435723125028,5.213582656463223,0.31045511687314664,-16.49993065303994,{}
co2,LinearRegression,test,35.30443101807079,45.90800717329714,5.496488150475157,0.8989089770460794,-16.086760581185395,{}
co2,Ridge_alpha_1,val,27.340097124919463,34.970282334211824,5.173992499836006,0.319980626001646,-16.147465728249333,{}
co2,Ridge_alpha_1,test,35.07594063496176,45.5183269022176,5.466503195052838,0.9006178722639886,-15.426490362189584,{}
co2,RandomForest_default,val,31.807965987842685,39.36292862441124,6.265533930291698,0.1384156251165759,11.847172718571743,{}
co2,RandomForest_default,test,37.37434223388582,45.94351376100197,6.180017510226072,0.8987525431006353,5.335982956197933,{}
co2,GradientBoosting_advanced,val,28.29607767073229,34.66714656884277,5.581240966418945,0.33171886415141405,9.685326655545678,{}
co2,GradientBoosting_advanced,test,33.47511670090984,41.851109722727976,5.292180877840924,0.9159863862031207,1.7080096381925112,{}
co2,RandomForest_tuned,val,31.8079659878427,39.362928624411246,6.265533930291702,0.13841562511657546,11.847172718571715,"{""n_estimators"": 60, ""max_depth"": 8, ""min_samples_leaf"": 2}"
co2,RandomForest_tuned,test,37.37434223388582,45.94351376100196,6.180017510226074,0.8987525431006353,5.335982956197941,"{""n_estimators"": 60, ""max_depth"": 8, ""min_samples_leaf"": 2}"
